model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.37037037037037035,0.0,0.021164021164021166,0.0,0.12698412698412698,0.0,0.4814814814814815,0.0,0.0,0.18137254901960784,0.47549019607843135,0.3431372549019608,0.0,0.01892744479495268,3.1781566795914946,20.7,0.0317,0.0189,0.0204,nwisnm.01.98600529,449.0,NM,1,7.4,140.0,29.0,340.0,210.0,130.0,16.0,38.0
0.0,0.4252873563218391,0.02298850574712644,0.01149425287356322,0.0,0.1149425287356322,0.0,0.4252873563218391,0.0,0.0,0.2456140350877193,0.19298245614035092,0.5614035087719299,0.0,0.019762845849802372,3.0894616575822322,40.0,0.0253,0.0174,0.017099999999999997,nwisnm.01.98400865,164.0,NM,1,7.9,150.0,25.0,460.0,170.0,150.0,9.3,32.0
0.0,0.36681222707423583,0.0,0.017467248908296946,0.0,0.12227074235807862,0.0,0.4934497816593887,0.0,0.0,0.1878172588832487,0.24365482233502533,0.5685279187817258,0.0,0.00946372239747634,3.1691030698528384,24.8,0.0317,0.022899999999999997,0.019700000000000002,nwisnm.01.98600530,236.0,NM,1,7.8,170.0,35.0,540.0,260.0,130.0,14.0,20.0
0.0,0.46305418719211827,0.0,0.009852216748768475,0.0,0.11822660098522167,0.0,0.4088669950738917,0.0,0.0,0.185,0.32499999999999996,0.49,0.0,0.016666666666666666,3.163036557034441,80.0,0.03,0.0203,0.02,nwisnm.01.97801687,320.0,NM,1,8.0,190.0,29.0,470.0,190.0,130.0,8.0,29.0
0.0,0.4511278195488722,0.0,0.0075187969924812035,0.0,0.1729323308270677,0.0075187969924812035,0.3609022556390977,0.0,0.0,0.11683848797250858,0.2508591065292096,0.6323024054982818,0.0,0.012953367875647668,3.305398472793607,120.0,0.0386,0.0266,0.0291,nwisnm.01.98500832,359.0,NM,1,7.9,240.0,56.0,880.0,220.0,120.0,8.6,31.0
0.0,0.47262247838616717,0.0,0.011527377521613832,0.0,0.12103746397694523,0.005763688760806916,0.38904899135446686,0.0,0.0,0.23976608187134504,0.2222222222222222,0.5380116959064327,0.0,0.012024048096192383,3.3800733132178173,50.0,0.04990000000000001,0.0347,0.0342,nwisnm.01.98500833,374.0,NM,1,7.9,330.0,50.0,880.0,310.0,290.0,15.0,37.0
0.0,0.6096256684491979,0.0106951871657754,0.0213903743315508,0.0,0.1818181818181818,0.0,0.1764705882352941,0.0,0.0,0.18974358974358976,0.3076923076923077,0.5025641025641026,0.0,0.01901140684410646,3.137615210985285,191.0,0.026300000000000004,0.0187,0.0195,nwisnm.01.01101921,267.0,NM,1,7.2,227.0,41.5,469.0,76.6,133.0,16.0,28.9
0.0,0.06930693069306931,0.0,0.034653465346534656,0.0,0.04950495049504951,0.0,0.8465346534653466,0.0,0.0,0.196969696969697,0.22727272727272727,0.5757575757575758,0.002906976744186046,0.03488372093023255,3.1865878195030115,250.0,0.03440000000000001,0.0202,0.019799999999999998,nwisnm.01.01101922,220.0,NM,1,7.8,26.3,11.9,544.0,394.0,139.0,27.6,72.1
0.0,0.37499999999999994,0.0,0.03333333333333333,0.0,0.15833333333333333,0.0,0.4333333333333333,0.0,0.0,0.23076923076923078,0.2624434389140271,0.5067873303167421,0.0,0.011594202898550727,3.204471564549972,23.4,0.034499999999999996,0.024,0.0221,nwisnm.01.98600539,271.0,NM,1,7.4,180.0,45.0,540.0,240.0,180.0,30.0,22.0
0.0,0.2727272727272727,0.0,0.011363636363636362,0.0,0.0909090909090909,0.0,0.625,0.0,0.0,0.1921708185053381,0.24555160142348753,0.5622775800711745,0.0,0.009478672985781991,3.2945841530670745,23.0,0.0422,0.0264,0.0281,nwisnm.01.00600324,307.0,NM,1,7.2,144.0,30.3,763.0,379.0,191.0,12.2,22.9
0.0,0.4228187919463087,0.0,0.010067114093959731,0.0,0.174496644295302,0.0,0.3926174496644295,0.0,0.0,0.19869706840390883,0.30618892508143325,0.49511400651465803,0.0,0.006772009029345371,3.3302401020126178,16.9,0.044300000000000006,0.0298,0.030699999999999998,nwisnm.01.00600364,406.0,NM,1,7.1,254.0,62.6,734.0,270.0,215.0,12.1,20.4
0.0,0.4,0.0,0.00930232558139535,0.0,0.12093023255813953,0.0,0.46976744186046515,0.0,0.0,0.1936936936936937,0.3378378378378379,0.4684684684684685,0.0,0.009036144578313253,3.195414077718442,22.9,0.0332,0.0215,0.022199999999999998,nwisnm.01.00600366,332.0,NM,1,7.2,171.0,30.7,495.0,232.0,153.0,6.7,20.7
0.0,0.35000000000000003,0.0,0.010000000000000002,0.0,0.12000000000000001,0.0,0.52,0.0,0.0,0.1409090909090909,0.45000000000000007,0.40909090909090906,0.0,0.015015015015015017,3.2045287870187025,21.5,0.033299999999999996,0.019999999999999997,0.022,nwisnm.01.99400455,448.0,NM,1,7.3,140.0,30.0,430.0,240.0,110.0,7.4,33.0
